Recomendação,Link,Descrição,Prioridade
SEC02-BP06 Utilizar grupos e atributos de usuários,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_identities_groups_attributes.html,"À medida que o número de usuários gerenciados cresce, você precisará determinar maneiras de organizá-los para que você possa gerenciá-los em grande escala. Coloque usuários com requisitos de segurança comuns em grupos definidos pelo provedor de identidade e implemente mecanismos para garantir que os atributos de usuário que podem ser usados para controle de acesso (por exemplo, departamento ou localização) estejam corretos e atualizados. Use esses grupos e atributos para controlar o acesso em vez de usuários individuais. Isso permite que você gerencie o acesso centralmente, alterando a associação ao grupo ou os atributos de um usuário uma vez com um conjunto de permissões, em vez de atualizar várias políticas individuais quando as necessidades de acesso de um usuário mudarem. ",Baixa
SEC03-BP01 Definir requisitos de acesso,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_permissions_define.html,"Cada componente ou recurso de sua workload precisa ser acessado por administradores, usuários finais ou outros componentes. É necessário ter uma definição clara de quem ou do que deve ter acesso a cada componente, escolher o tipo de identidade apropriado e o método de autenticação e autorização.",Alta
SEC03-BP02 Conceder acesso com privilégio mínimo,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_permissions_least_privileges.html,"É prática recomendada conceder somente o acesso de que as identidades precisam para realizar ações em recursos específicos e sob condições específicas. Use grupos e atributos de identidade para definir permissões dinamicamente em escala, em vez de definir permissões para usuários individuais. Por exemplo, você pode permitir o acesso de um grupo de desenvolvedores para gerenciar apenas recursos de seu próprio projeto. Dessa forma, se um desenvolvedor sair do projeto, o acesso dele é automaticamente revogado sem alterar as políticas de acesso adjacentes.",Alta
SEC03-BP03 Estabelecer processo de acesso de emergência,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_permissions_emergency_process.html,"Crie um processo que permita acesso emergencial às suas workloads no caso improvável de um problema com seu provedor de identidades centralizado.
Você deve criar processos para diferentes modos de falha que possam resultar em um evento de emergência. Por exemplo, em circunstâncias normais, os usuários da sua força de trabalho são federados na nuvem usando um provedor de identidades centralizado (SEC02-BP04) para gerenciar as respectivas workloads. No entanto, se o provedor de identidades centralizado falhar ou a configuração da federação na nuvem for modificada, talvez os usuários de sua força de trabalho não consigam se federar na nuvem. Um processo de acesso de emergência permite que administradores autorizados acessem seus recursos de nuvem por meios alternativos (como uma forma alternativa de federação ou acesso direto do usuário) para corrigir problemas com sua configuração de federação ou workloads. O processo de acesso de emergência é usado até que o mecanismo normal de federação seja restaurado.",Média
SEC03-BP04 Reduzir as permissões continuamente,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_permissions_continuous_reduction.html,"À medida que suas equipes determinarem o acesso de que precisam, remova as permissões desnecessárias e estabeleça processos de análise para obter permissões de privilégio mínimo. Monitore e remova continuamente identidades e permissões não utilizadas para acesso humano e de máquina.",Média
SEC03-BP05 Definir barreiras de proteção de permissões para sua organização,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_permissions_define_guardrails.html,"Estabeleça controles comuns que restrinjam o acesso a todas as identidades na organização. Por exemplo, é possível restringir o acesso a Regiões da AWS específicas ou impedir que os operadores excluam recursos comuns, como um perfil do IAM usado pela equipe de segurança central.",Média
SEC03-BP06 Gerenciar o acesso com base no ciclo de vida,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_permissions_lifecycle.html,"Integre controles de acesso ao ciclo de vida do operador e da aplicação e ao seu provedor de federação centralizado. Por exemplo, remova o acesso do usuário que sair da organização ou mudar de funções.",Média
SEC03-BP07 Analisar o acesso público e entre contas,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_permissions_analyze_cross_account.html,Monitore continuamente as descobertas que destacam o acesso público e entre contas. Reduza o acesso público e o acesso entre contas somente aos recursos específicos que exigem esse acesso.,Média
SEC03-BP08 Compartilhar recursos com segurança em sua organização,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_permissions_share_securely.html,"À medida que o número de workloads aumenta, talvez você precise compartilhar o acesso aos recursos nessas workloads ou fornecer os recursos várias vezes nas contas. Você pode ter estruturas para fragmentar seu ambiente, como ter ambientes de desenvolvimento, teste e produção. No entanto, ter estruturas de separação não limita o compartilhamento seguro. Ao compartilhar componentes que se sobrepõem, você pode reduzir a sobrecarga operacional e possibilitar uma experiência consistente sem precisar adivinhar o que ignorou ao criar o mesmo recurso várias vezes.",Média
SEC03-BP09 Compartilhar recursos com segurança com terceiros,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_permissions_share_securely_third_party.html,"A segurança de seu ambiente de nuvem não é interrompida em sua organização. Sua organização pode contar com terceiros para gerenciar uma parte de seus dados. O gerenciamento de permissões para o sistema gerenciado por terceiros deve seguir a prática de acesso just-in-time utilizando o princípio de privilégio mínimo com credenciais temporárias. A trabalhar em parceria com terceiros, é possível reduzir o escopo do impacto e o risco de acesso acidental.",Média
SEC04-BP01 Configurar registro em log de serviço e aplicação,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_detect_investigate_events_app_service_logging.html,"Retenha logs de eventos de segurança de serviços e aplicações. Esse é um princípio fundamental de segurança para auditoria, investigações e casos de uso operacionais e um requisito de segurança comum orientado por padrões, políticas e procedimentos de governança, risco e conformidade (GRC).",Alta
"SEC04-BP02 Analisar logs, descobertas e métricas de forma centralizada",https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_detect_investigate_events_analyze_all.html,"As equipes de operações de segurança confiam na coleta de logs e no uso de ferramentas de pesquisa para descobrir possíveis eventos de interesse, que podem indicar atividade não autorizada ou alteração não intencional. No entanto, a simples análise de dados coletados e o processamento manual de informações são insuficientes para acompanhar o volume de informações provenientes de arquiteturas complexas. Somente a análise e os relatórios não facilitam a atribuição dos recursos certos para trabalhar um evento em tempo hábil.",Alta
SEC04-BP03 Automatizar a resposta a eventos,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_detect_investigate_events_auto_response.html,O uso de automação para investigar e corrigir eventos reduz o esforço humano e erros e permite escalar recursos de investigação. Análises regulares ajudarão você a ajustar ferramentas de automação e iterar continuamente.,Média
SEC04-BP04 Implementar eventos de segurança acionáveis,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_detect_investigate_events_actionable_events.html,"Crie alertas para serem enviados à sua equipe para ação. Certifique-se de que os alertas incluam informações relevantes para a equipe agir. Para cada mecanismo de detecção existente, você também deve ter um processo, na forma de um runbook ou playbook, para investigar. Por exemplo, quando você habilita o Amazon GuardDuty, ele gera diferentes descobertas. Você deve ter uma entrada de runbook para cada tipo de descoberta, por exemplo, se um cavalo de Troia for descoberto, seu runbook terá instruções simples que instruem alguém a investigar e corrigir o problema.",Baixa
SEC05-BP01 Criar camadas de rede,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_network_protection_create_layers.html,"Agrupe os componentes que compartilham requisitos de confidencialidade em camadas para minimizar o possível escopo do impacto do acesso não autorizado. Por exemplo, um cluster de banco de dados em uma nuvem privada virtual (VPC) sem necessidade de acesso à Internet deve ser colocado em sub-redes sem nenhuma rota para/ou proveniente da Internet. O tráfego só deve fluir do próximo recurso menos sigiloso adjacente. Considere uma aplicação da web atrás de um balanceador de carga. Seu banco de dados não deve ser acessível diretamente do balanceador de carga. Somente a lógica de negócios ou o servidor da web tem acesso direto ao seu banco de dados.",Alta
SEC05-BP02 Controlar tráfego de todas as camadas,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_network_protection_layered.html,"Ao projetar sua topologia de rede, você deve examinar os requisitos de conectividade de cada componente. Por exemplo, se um componente precisa de acesso à Internet (entrada e saída), conectividade com VPCs, serviços de borda e datacenters externos.",Alta
SEC05-BP03 Automatizar a proteção da rede,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_network_protection_auto_protect.html,"Automatize os mecanismos de proteção para fornecer uma rede de autodefesa com base em inteligência de ameaças e detecção de anomalias. Por exemplo, ferramentas de detecção e prevenção de intrusão que podem se adaptar às ameaças atuais e reduzir seu impacto. Um firewall de aplicação Web é um exemplo de onde você pode automatizar a proteção de rede; por exemplo, usando a solução AWS WAF Security Automations (https://github.com/awslabs/aws-waf-security-automations) para bloquear automaticamente solicitações originadas de endereços IP associados a agentes de ameaças conhecidos.",Alta
SEC05-BP04 Implementar inspeção e proteção,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_network_protection_inspection.html,"Inspecione e filtre o tráfego em cada camada. É possível inspecionar suas configurações de VPC quanto a possíveis acessos não intencionais usando o VPC Network Access Analyzer. Especifique seus requisitos de acesso à rede e identifique possíveis caminhos de rede que não os atendem. Para componentes que fazem transações por meio de protocolos baseados em HTTP, um firewall de aplicativo Web pode ajudar a proteger contra ataques comuns. AWS WAF é um firewall para aplicativos web que permite monitorar e bloquear solicitações HTTP(s) que correspondem às regras configuráveis que são encaminhadas para uma API do Amazon API Gateway, o Amazon CloudFront ou um Application Load Balancer. Para começar a usar o AWS WAF, você pode usar o AWS Managed Rules em combinação com as suas próprias ou usar integrações de parceiros existentes.",Baixa
SEC06-BP01 Fazer o gerenciamento de vulnerabilidades,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_compute_vulnerability_management.html,"Verifique e corrija com frequência vulnerabilidades no código, nas dependências e na infraestrutura para proteger-se contra novas ameaças.",Alta
SEC06-BP02 Reduzir a superfície de ataque,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_compute_reduce_surface.html,"Reduza a exposição ao acesso não intencional protegendo os sistemas operacionais e minimizando componentes, bibliotecas e serviços consumíveis externamente em uso. Primeiro, diminua o número de componentes não utilizados, sejam eles pacotes de sistema operacional ou aplicações para workloads baseadas no Amazon Elastic Compute Cloud (Amazon EC2), sejam eles módulos de software externos no código, para todas as workloads. Encontre muitos guias de configuração de proteção e segurança para sistemas operacionais comuns e software de servidor. Por exemplo, você pode começar com o Center for Internet Security e iterar.",Alta
SEC06-BP03 Implementar serviços gerenciados,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_compute_implement_managed_services.html,"Implemente serviços que gerenciam recursos, como o Amazon Relational Database Service (Amazon RDS), o AWS Lambda e o Amazon Elastic Container Service (Amazon ECS), para reduzir as tarefas de manutenção de segurança como parte do modelo de responsabilidade compartilhada. Por exemplo, o Amazon RDS ajuda você a configurar, operar e escalar um banco de dados relacional, automatiza tarefas de administração, como provisionamento de hardware, configuração de banco de dados, aplicação de patches e backups. Isso significa que você tem mais tempo livre para se concentrar na proteção da aplicação de outras maneiras descritas no AWS Well-Architected Framework. O Lambda permite executar código sem provisionar nem gerenciar servidores e, portanto, você só precisa se concentrar na conectividade, na invocação e na segurança em nível de código, e não na infraestrutura ou no sistema operacional.",Média
SEC06-BP04 Automatizar a proteção da computação,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_compute_auto_protection.html,"Automatize seus mecanismos de computação de proteção, incluindo gerenciamento de vulnerabilidades, redução da superfície de ataque e gerenciamento de recursos. A automação ajudará você a investir tempo para proteger outros aspectos da carga de trabalho e reduzir o risco de erros humanos.",Média
SEC06-BP05 Permitir que as pessoas executem ações a uma distância,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_compute_actions_distance.html,"A remoção da capacidade de acesso interativo reduz o risco de erro humano e o potencial de configuração ou gerenciamento manual. Por exemplo, use um fluxo de trabalho de gerenciamento de alterações para implantar instâncias do Amazon Elastic Compute Cloud (Amazon EC2) usando infraestruturas como código e gerenciar instâncias do Amazon EC2 com ferramentas, como o AWS Systems Manager, em vez de permitir acesso direto, ou por meio de um host traga a sua própria licença. O AWS Systems Managerpode automatizar uma variedade de tarefas de manutenção e implantação, usando recursos que incluem fluxos de trabalho de automação ,, documentos (playbooks) e o Run Command. O AWS CloudFormation empilha a compilação com base em pipelines e pode automatizar tarefas de implantação e gerenciamento de infraestrutura sem usar diretamente o AWS Management Console ou APIs.",Baixa
SEC06-BP06 Validar a integridade do software,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_compute_validate_software_integrity.html,"Implemente mecanismos (por exemplo, assinatura de código) para validar se o software, o código e as bibliotecas usados na workload são de fontes confiáveis e não foram adulterados. Por exemplo, você deve verificar o certificado de assinatura de código de binários e scripts para confirmar o autor e garantir que ele não tenha sido adulterado desde que foi criado pelo autor. AWS Signer pode ajudar a garantir a confiança e a integridade do código gerenciando centralmente o ciclo de vida de assinatura de código, incluindo certificação de assinatura e chaves públicas e privadas. Você pode aprender a usar padrões avançados e práticas recomendadas para assinatura de código com o AWS Lambda. Além disso, uma soma de verificação do software que você faz download, em comparação com a soma de verificação do provedor, pode ajudar a garantir que ela não tenha sido adulterada.",Baixa
SEC07-BP01 Identificar os dados em sua workload,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_data_classification_identify_data.html,"É essencial compreender o tipo e a classificação de dados que sua workload está processando, os processos de negócios associados, onde os dados são armazenados e quem é o proprietário dos dados. Você também deve ter uma compreensão dos requisitos legais e de conformidade aplicáveis de sua workload e quais controles de dados precisam ser implementados. A identificação dos dados é a primeira etapa da jornada da classificação de dados.",Alta
SEC07-BP02 Definir controles de proteção de dados,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_data_classification_define_protection.html,"Proteja os dados de acordo com seu nível de classificação. Por exemplo, proteja dados classificados como públicos usando recomendações relevantes enquanto protege dados confidenciais com controles adicionais.",Alta
SEC07-BP03 Automatizar a identificação e a classificação,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_data_classification_auto_classification.html,"Automatizar a identificação e a classificação de dados pode ajudar a implementar os controles corretos. O uso de automação para isso, em vez de acesso direto de uma pessoa, reduz o risco de erros humanos e exposição. Você deve avaliar o uso de uma ferramenta, como o Amazon Macie, que usa machine learning para descobrir, classificar e proteger automaticamente dados confidenciais na AWS. O Amazon Macie reconhece dados confidenciais, como informações de identificação pessoal (PII) ou propriedade intelectual, e fornece painéis e alertas que dão visibilidade sobre como esses dados estão sendo acessados ou movidos.",Baixa
SEC07-BP04 Definir o gerenciamento do ciclo de vida de dados,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_data_classification_lifecycle_management.html,"Sua estratégia de ciclo de vida definida deve ser baseada no nível de confidencialidade, bem como nos requisitos legais e organizacionais. Aspectos como a duração pela qual você retém dados, processos de destruição de dados, gerenciamento de acesso a dados, transformação de dados e compartilhamento de dados devem ser considerados. Ao escolher uma metodologia de classificação de dados, equilibre usabilidade e acesso. Considere também os vários níveis de acesso e nuances para implementar uma abordagem segura, mas utilizável, para cada nível. Sempre use uma abordagem de defesa detalhada e reduza o acesso humano a dados e mecanismos para transformar, excluir ou copiar dados. Por exemplo, exija que os usuários se autentiquem fortemente em uma aplicação e conceda a ela, e não aos usuários, a permissão de acesso necessária para executar uma ação a distância. Além disso, garanta que os usuários venham de um caminho de rede confiável e exijam acesso às chaves de descriptografia. Use ferramentas como painéis ou relatórios automatizados para fornecer aos usuários informações extraídas dos dados e não acesso direto aos dados.",Baixa
SEC08-BP01 Implementar gerenciamento de chaves seguro,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_data_rest_key_mgmt.html,"O gerenciamento seguro de chaves inclui o armazenamento, a rotação, o controle de acesso e o monitoramento do material essencial necessário para proteger os dados em repouso para sua workload.",Alta
SEC08-BP02 Aplicar criptografia em repouso,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_data_rest_encrypt.html,É necessário implementar o uso de criptografia para dados em repouso. A criptografia mantém a confidencialidade dos dados sigilosos em caso de acesso não autorizado ou divulgação acidental.,Alta
SEC08-BP03 Automatizar a proteção de dados em repouso,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_data_rest_automate_protection.html,"Use ferramentas automatizadas para validar e impor controles de dados em repouso continuamente, por exemplo, verificar se há apenas recursos de armazenamento criptografados. Você pode automatizar a validação de que todos os volumes do EBS são criptografados com o uso do Regras do AWS Config. AWS Security Hub também pode verificar vários controles diferentes por meio de verificações automatizadas em relação a padrões de segurança. Além disso, o Regras do AWS Config pode corrigir recursos não compatíveis automaticamente.",Média
SEC08-BP04 Impor o controle de acesso,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_data_rest_access_control.html,"Para ajudar a proteger seus dados em repouso, implemente o controle de acesso utilizando mecanismos, como isolamento e versionamento, e aplique o princípio de privilégio mínimo. Evite conceder acesso público aos seus dados.",Baixa
SEC08-BP05 Usar mecanismos para evitar que as pessoas acessem os dados,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_data_rest_use_people_away.html,"Impeça que os usuários acessem dados e sistemas confidenciais diretamente em circunstâncias operacionais normais. Por exemplo, use um fluxo de trabalho de gerenciamento de alterações para gerenciar instâncias do Amazon Elastic Compute Cloud (Amazon EC2) usando ferramentas em vez de permitir acesso direto ou um host traga a sua própria licença. Isso pode ser obtido usando o AWS Systems Manager Automation, que usa documentos de automação que contêm etapas que você usa para realizar tarefas. Esses documentos podem ser armazenados no controle de origem, analisados por pares antes da execução e testados detalhadamente para minimizar os riscos em comparação com o acesso ao shell. Os usuários empresariais podem ter um painel em vez de acesso direto a um armazenamento de dados para executar consultas. Quando os pipelines de CI/CD não forem usados, determine quais controles e processos são necessários para fornecer adequadamente um mecanismo de acesso break-glass normalmente desabilitado.",Baixa
SEC09-BP01 Implementar o gerenciamento seguro de chaves e certificados,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_data_transit_key_cert_mgmt.html,"Os certificados Transport Layer Security (TLS) são usados para proteger as comunicações de rede e estabelecer a identidade de sites, recursos e workloads na internet, bem como em redes privadas.",Alta
SEC09-BP02 Aplicar a criptografia em trânsito,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_data_transit_encrypt.html,"Aplique os requisitos de criptografia definidos com base em políticas, obrigações regulatórias e padrões da organização para cumprir os requisitos organizacionais, legais e de conformidade. Utilize somente protocolos com criptografia ao transmitir dados sigilosos para fora da sua nuvem privada virtual (VPC). A criptografia ajuda a manter a confidencialidade dos dados mesmo quando os dados passam por redes não confiáveis.",Alta
SEC09-BP03 Automatizar a detecção de acesso não intencional a dados,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_data_transit_auto_unintended_access.html,"Use ferramentas como o Amazon GuardDuty para detectar automaticamente atividades suspeitas ou tentativas de mover dados para fora dos limites definidos. Por exemplo, o GuardDuty pode detectar atividade de leitura do Amazon Simple Storage Service (Amazon S3) que é incomum com a descoberta Exfiltration:S3/AnomalousBehavior. Além do GuardDuty, Logs de fluxo da Amazon VPC, que capturam informações de tráfego de rede, podem ser usados com o Amazon EventBridge para acionar a detecção de conexões anormais, bem-sucedidas e recusadas. Amazon S3 Access Analyzer pode ajudar a avaliar quais dados podem ser acessados por quem nos buckets do Amazon S3.",Média
SEC09-BP04 Autenticar as comunicações de rede,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_protect_data_transit_authentication.html,"Verifique a identidade das comunicações usando protocolos que oferecem suporte à autenticação, como Transport Layer Security (TLS) ou IPsec.
Projete a workload para usar protocolos de rede seguros e autenticados sempre que for feita uma comunicação entre serviços, aplicações ou usuários. O uso de protocolos de rede compatíveis com a autenticação e a autorização fornece maior controle sobre os fluxos de rede e reduz o impacto do acesso não autorizado.",Baixa
SEC10-BP01 identifique pessoas e recursos externos chaves,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_incident_response_identify_personnel.html,"Identifique o pessoal, as obrigações legais e os recursos internos e externos que ajudariam sua organização a responder a um incidente.",Alta
SEC10-BP02 Desenvolver planos de gerenciamento de incidentes,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_incident_response_develop_management_plans.html,O primeiro documento a ser desenvolvido para resposta a incidentes é o plano de resposta a incidentes. O plano de resposta a incidentes foi projetado para ser a base de seu programa e estratégia de resposta a incidentes.,Alta
SEC10-BP03 Prepare recursos forenses,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_incident_response_prepare_forensic.html,"Antes de um incidente de segurança, considere o desenvolvimento de recursos forenses para apoiar as investigações de eventos de segurança.",Média
SEC10-BP04 Desenvolva e teste manuais de resposta a incidentes de segurança,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_incident_response_playbooks.html,Uma parte fundamental da preparação de seus processos de resposta a incidentes é desenvolver manuais. Os manuais de resposta a incidentes fornecem uma série de orientações prescritivas e etapas a serem seguidas quando ocorre um evento de segurança. Ter uma estrutura e etapas claras simplifica a resposta e reduz a probabilidade de erro humano.,Média
SEC10-BP05 Acesso pré-provisionado,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_incident_response_pre_provision_access.html,Verifique se os respondentes a incidentes têm o acesso correto pré-provisionado na AWS para reduzir o tempo de investigação necessário até a recuperação.,Média
SEC10-BP06 Pré-implantação de ferramentas,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_incident_response_pre_deploy_tools.html,Verifique se o pessoal de segurança tem as ferramentas certas pré-implantadas para reduzir o tempo de investigação até a recuperação.,Média
